case_id,family,source_work,source_case_id,source_file,query_changed_from_archived_record,outcome_changed_from_archived_record,transformation
932000,E1,manual_workspace_file_poisoning_expansion,secret_email-00,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932001,E1,manual_workspace_file_poisoning_expansion,secret_email-01,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932002,E1,manual_workspace_file_poisoning_expansion,secret_email-02,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932003,E1,manual_workspace_file_poisoning_expansion,secret_email-03,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932004,E1,manual_workspace_file_poisoning_expansion,secret_email-04,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932005,E1,manual_workspace_file_poisoning_expansion,secret_email-05,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932006,E1,manual_workspace_file_poisoning_expansion,secret_email-06,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932007,E1,manual_workspace_file_poisoning_expansion,secret_email-07,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932008,E1,manual_workspace_file_poisoning_expansion,secret_email-08,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932009,E1,manual_workspace_file_poisoning_expansion,secret_email-09,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932010,E1,manual_workspace_file_poisoning_expansion,pii_email-00,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932011,E1,manual_workspace_file_poisoning_expansion,pii_email-01,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932012,E1,manual_workspace_file_poisoning_expansion,pii_email-02,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932013,E1,manual_workspace_file_poisoning_expansion,pii_email-03,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932014,E1,manual_workspace_file_poisoning_expansion,pii_email-04,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932015,E1,manual_workspace_file_poisoning_expansion,pii_email-05,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932016,E1,manual_workspace_file_poisoning_expansion,pii_email-06,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932017,E1,manual_workspace_file_poisoning_expansion,pii_email-07,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932018,E1,manual_workspace_file_poisoning_expansion,pii_email-08,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932019,E1,manual_workspace_file_poisoning_expansion,pii_email-09,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
932020,E1,manual_workspace_file_poisoning_expansion,internal_doc_email-00,,True,True,"Re-authored for this benchmark: wording, sandbox materialization, taxonomy, and observable verifier target may differ; the archived record preserves the mapping."
